trimestre,taxa_desemprego,data,ano,variacao
mar-abr-mai 2023,8.3,2023-03-01,2023,-0.1999999999999993
abr-mai-jun 2023,8.0,2023-04-01,2023,-0.3000000000000007
mai-jun-jul 2023,7.9,2023-05-01,2023,-0.09999999999999964
jun-jul-ago 2023,7.8,2023-06-01,2023,-0.10000000000000053
jul-ago-set 2023,7.7,2023-07-01,2023,-0.09999999999999964
ago-set-out 2023,7.6,2023-08-01,2023,-0.10000000000000053
set-out-nov 2023,7.5,2023-09-01,2023,-0.09999999999999964
out-nov-dez 2023,7.4,2023-10-01,2023,-0.09999999999999964
nov-dez-jan 2023,8.4,2023-11-01,2023,1.0
dez-jan-fev 2023,8.6,2023-12-01,2023,0.1999999999999993
jan-fev-mar 2024,7.9,2024-01-01,2024,-0.6999999999999993
fev-mar-abr 2024,7.5,2024-02-01,2024,-0.40000000000000036
mar-abr-mai 2024,7.1,2024-03-01,2024,-0.40000000000000036
abr-mai-jun 2024,6.9,2024-04-01,2024,-0.1999999999999993
mai-jun-jul 2024,6.8,2024-05-01,2024,-0.10000000000000053
jun-jul-ago 2024,6.6,2024-06-01,2024,-0.20000000000000018
jul-ago-set 2024,6.4,2024-07-01,2024,-0.1999999999999993
ago-set-out 2024,6.2,2024-08-01,2024,-0.20000000000000018
set-out-nov 2024,6.1,2024-09-01,2024,-0.10000000000000053
out-nov-dez 2024,6.2,2024-10-01,2024,0.10000000000000053
nov-dez-jan 2024,7.6,2024-11-01,2024,1.3999999999999995
dez-jan-fev 2024,7.8,2024-12-01,2024,0.20000000000000018
jan-fev-mar 2025,7.0,2025-01-01,2025,-0.7999999999999998
fev-mar-abr 2025,6.6,2025-02-01,2025,-0.40000000000000036
mar-abr-mai 2025,6.2,2025-03-01,2025,-0.39999999999999947
abr-mai-jun 2025,5.8,2025-04-01,2025,-0.40000000000000036
mai-jun-jul 2025,5.6,2025-05-01,2025,-0.20000000000000018
jun-jul-ago 2025,5.6,2025-06-01,2025,0.0
jul-ago-set 2025,5.6,2025-07-01,2025,0.0
ago-set-out 2025,5.4,2025-08-01,2025,-0.1999999999999993
set-out-nov 2025,5.2,2025-09-01,2025,-0.20000000000000018
out-nov-dez 2025,5.1,2025-10-01,2025,-0.10000000000000053
nov-dez-jan 2025,6.5,2025-11-01,2025,1.4000000000000004
dez-jan-fev 2025,6.8,2025-12-01,2025,0.2999999999999998
nov-dez-jan 2026,5.4,2026-11-01,2026,-1.3999999999999995
dez-jan-fev 2026,5.8,2026-12-01,2026,0.39999999999999947
